config,neigh,comp,instance,run,lower,upper,midpoint
n1_HC,n1,HC,F0.15.0.ft20_05,15,1106.0,1250.0,1178.0
n1_HC,n1,HC,F0.15.0.ft20_05,16,1109.0,1251.0,1180.0
n1_HC,n1,HC,F0.15.0.ft20_05,17,1121.0,1263.0,1192.0
n1_HC,n1,HC,F0.15.0.ft20_05,18,1106.0,1250.0,1178.0
n1_HC,n1,HC,F0.15.0.ft20_05,19,1106.0,1250.0,1178.0
n1_HC,n1,HC,F0.15.0.ft20_05,20,1101.0,1245.0,1173.0
n1_HC,n1,HC,F0.15.0.ft20_05,21,1106.0,1250.0,1178.0
n1_HC,n1,HC,F0.15.0.ft20_05,22,1106.0,1250.0,1178.0
n1_HC,n1,HC,F0.15.0.ft20_05,23,1109.0,1251.0,1180.0
n1_HC,n1,HC,F0.15.0.ft20_05,24,1101.0,1245.0,1173.0
n1_HC,n1,HC,F0.15.0.ft20_05,25,1109.0,1251.0,1180.0
n1_HC,n1,HC,F0.15.0.ft20_05,26,1106.0,1250.0,1178.0
n1_HC,n1,HC,F0.15.0.ft20_05,27,1109.0,1251.0,1180.0
n1_HC,n1,HC,F0.15.0.ft20_05,28,1101.0,1245.0,1173.0
n1_HC,n1,HC,F0.15.0.ft20_05,29,1106.0,1250.0,1178.0
n1_HC,n1,HC,F0.15.0.ft20_05,30,1106.0,1250.0,1178.0
n1_HC,n1,HC,F0.15.0.la21_04,1,1005.0,1153.0,1079.0
n1_HC,n1,HC,F0.15.0.la21_04,2,1015.0,1171.0,1093.0
n1_HC,n1,HC,F0.15.0.la21_04,3,1020.0,1149.0,1084.5
n1_HC,n1,HC,F0.15.0.la21_04,4,1050.0,1181.0,1115.5
n1_HC,n1,HC,F0.15.0.la21_04,5,1045.0,1166.0,1105.5
n1_HC,n1,HC,F0.15.0.la21_04,6,1004.0,1152.0,1078.0
n1_HC,n1,HC,F0.15.0.la21_04,7,996.0,1125.0,1060.5
n1_HC,n1,HC,F0.15.0.la21_04,8,1026.0,1140.0,1083.0
n1_HC,n1,HC,F0.15.0.la21_04,9,1013.0,1138.0,1075.5
n1_HC,n1,HC,F0.15.0.la21_04,10,1029.0,1155.0,1092.0
n1_HC,n1,HC,F0.15.0.la21_04,11,1014.0,1160.0,1087.0
n1_HC,n1,HC,F0.15.0.la21_04,12,996.0,1122.0,1059.0
n1_HC,n1,HC,F0.15.0.la21_04,13,1020.0,1143.0,1081.5
n1_HC,n1,HC,F0.15.0.la21_04,14,1006.0,1146.0,1076.0
n1_HC,n1,HC,F0.15.0.la21_04,15,1018.0,1151.0,1084.5
n1_HC,n1,HC,F0.15.0.la21_04,16,997.0,1141.0,1069.0
n1_HC,n1,HC,F0.15.0.la21_04,17,1013.0,1151.0,1082.0
n1_HC,n1,HC,F0.15.0.la21_04,18,1032.0,1155.0,1093.5
n1_HC,n1,HC,F0.15.0.la21_04,19,1024.0,1137.0,1080.5
n1_HC,n1,HC,F0.15.0.la21_04,20,1010.0,1132.0,1071.0
n1_HC,n1,HC,F0.15.0.la21_04,21,1037.0,1171.0,1104.0
n1_HC,n1,HC,F0.15.0.la21_04,22,996.0,1122.0,1059.0
n1_HC,n1,HC,F0.15.0.la21_04,23,1029.0,1155.0,1092.0
n1_HC,n1,HC,F0.15.0.la21_04,24,996.0,1124.0,1060.0
n1_HC,n1,HC,F0.15.0.la21_04,25,1030.0,1136.0,1083.0
n1_HC,n1,HC,F0.15.0.la21_04,26,1022.0,1149.0,1085.5
n1_HC,n1,HC,F0.15.0.la21_04,27,1001.0,1151.0,1076.0
n1_HC,n1,HC,F0.15.0.la21_04,28,1021.0,1167.0,1094.0
