algo,inst,arm,t,bestcmax
abce3,ft10,V2H,43.4,954.30
abce3,ft10,V2H,43.6,954.30
abce3,ft10,V2H,43.8,954.30
abce3,ft10,V2H,44.0,954.30
abce3,ft10,V2H,44.2,954.30
abce3,ft10,V2H,44.4,954.30
abce3,ft10,V2H,44.6,954.30
abce3,ft10,V2H,44.8,954.30
abce3,ft10,V2H,45.0,954.30
abce3,ft10,V2H,45.2,954.30
abce3,ft10,V2H,45.4,954.30
abce3,ft10,V2H,45.6,954.30
abce3,ft10,V2H,45.8,954.30
abce3,ft10,V2H,46.0,954.30
abce3,ft10,V2H,46.2,954.30
abce3,ft10,V2H,46.4,954.30
abce3,ft10,V2H,46.6,954.30
abce3,ft10,V2H,46.8,954.30
abce3,ft10,V2H,47.0,954.30
abce3,ft10,V2H,47.2,954.30
abce3,ft10,V2H,47.4,954.30
abce3,ft10,V2H,47.6,954.30
abce3,ft10,V2H,47.8,954.30
abce3,ft10,V2H,48.0,954.30
abce3,ft10,V2H,48.2,954.30
abce3,ft10,V2H,48.4,954.30
abce3,ft10,V2H,48.6,954.30
abce3,ft10,V2H,48.8,954.30
abce3,ft10,V2H,49.0,954.30
abce3,ft10,V2H,49.2,954.30
abce3,ft10,V2H,49.4,954.30
abce3,ft10,V2H,49.6,954.30
abce3,ft10,V2H,49.8,954.30
abce3,ft10,V2H,50.0,948.40
abce3,ft10,V2H,50.2,948.40
abce3,ft10,V2H,50.4,948.40
abce3,ft10,V2H,50.6,948.40
abce3,ft10,V2H,50.8,948.40
abce3,ft10,V2H,51.0,948.40
abce3,ft10,V2H,51.2,948.40
abce3,ft10,V2H,51.4,948.40
abce3,ft10,V2H,51.6,948.40
abce3,ft10,V2H,51.8,948.40
abce3,ft10,V2H,52.0,948.40
abce3,ft10,V2H,52.2,948.40
abce3,ft10,V2H,52.4,948.40
abce3,ft10,V2H,52.6,948.40
abce3,ft10,V2H,52.8,948.40
abce3,ft10,V2H,53.0,948.40
abce3,ft10,V2H,53.2,948.40
abce3,ft10,V2H,53.4,948.40
abce3,ft10,V2H,53.6,948.40
abce3,ft10,V2H,53.8,948.40
abce3,ft10,V2H,54.0,948.40
abce3,ft10,V2H,54.2,948.40
abce3,ft10,V2H,54.4,948.40
abce3,ft10,V2H,54.6,948.40
abce3,ft10,V2H,54.8,948.40
abce3,ft10,V2H,55.0,954.30
abce3,ft10,V2H,55.2,954.30
abce3,ft10,V2H,55.4,954.30
abce3,ft10,V2H,55.6,954.30
abce3,ft10,V2H,55.8,954.30
abce3,ft10,V2H,56.0,954.30
abce3,ft10,V2H,56.2,954.30
abce3,ft10,V2H,56.4,954.30
abce3,ft10,V2H,56.6,954.30
abce3,ft10,V2H,56.8,954.30
abce3,ft10,V2H,57.0,954.30
abce3,ft10,V2H,57.2,954.30
abce3,ft10,V2H,57.4,954.30
abce3,ft10,V2H,57.6,954.30
abce3,ft10,V2H,57.8,954.30
abce3,ft10,V2H,58.0,954.30
abce3,ft10,V2H,58.2,954.30
abce3,ft10,V2H,58.4,954.30
abce3,ft10,V2H,58.6,954.30
abce3,ft10,V2H,58.8,954.30
abce3,ft10,V2H,59.0,954.30
abce3,ft10,V2H,59.2,954.30
abce3,ft10,V2H,59.4,954.30
abce3,ft10,V2H,59.6,954.30
abce3,ft10,V2H,59.8,954.30
abce3,ft10,V2H,60.0,954.10
abce3,ft10,V2,0.0,993.60
abce3,ft10,V2,0.2,993.60
abce3,ft10,V2,0.4,993.60
abce3,ft10,V2,0.6,993.60
abce3,ft10,V2,0.8,993.60
abce3,ft10,V2,1.0,993.60
abce3,ft10,V2,1.2,993.60
abce3,ft10,V2,1.4,993.60
abce3,ft10,V2,1.6,993.60
abce3,ft10,V2,1.8,993.60
abce3,ft10,V2,2.0,993.60
abce3,ft10,V2,2.2,993.60
abce3,ft10,V2,2.4,993.60
abce3,ft10,V2,2.6,993.60
abce3,ft10,V2,2.8,993.60
abce3,ft10,V2,3.0,993.60
abce3,ft10,V2,3.2,993.60
abce3,ft10,V2,3.4,993.60
abce3,ft10,V2,3.6,993.60
abce3,ft10,V2,3.8,993.60
abce3,ft10,V2,4.0,993.60
abce3,ft10,V2,4.2,993.60
abce3,ft10,V2,4.4,993.60
