"algo","inst","q_a0","q_arm","q_pool","gap","delta","ayuda"
"ga","tai30_20_09",2136.83333333333,2170.86666666667,2444.79,14.4118243506747,1.59269947741986,FALSE
"ga","tai30_20_10",2165.38333333333,2161.65,2413.7,11.4675615556907,-0.172409811965539,TRUE
"ga","tai50_15_01",2915.25,2910.81666666667,3392.87,16.3835005574136,-0.152073864448448,TRUE
"ga","tai50_15_02",2885.75,2889.26666666667,3238.63,12.2283635103526,0.121863178261002,FALSE
"ga","tai50_15_03",2803.31666666667,2809.56666666667,3123.04,11.4051807680188,0.222950195898905,FALSE
"ga","tai50_15_04",2889.2,2883.98333333333,3151.73,9.08659836632979,-0.180557478425401,TRUE
"ga","tai50_15_05",2857.7619047619,2872.16666666667,3241.42,13.4251245563461,0.504057454218254,FALSE
"ga","tai50_15_06",2871.40476190476,2903.71428571429,3201.25,11.4872428461264,1.12521662700354,FALSE
"ga","tai50_15_07",3012,3031.83333333333,3412.13,13.2845285524568,0.658477202301909,FALSE
"ga","tai50_15_08",2970.05,2976.53333333333,3325.47,11.9668019056918,0.218290376705211,FALSE
"ga","tai50_15_09",2819.51666666667,2808.4,3203.19,13.6077696531911,-0.394275614614802,TRUE
"ga","tai50_15_10",2825.76666666667,2840.9,3104.93,9.8792068229271,0.535547874912999,FALSE
"ga","tai50_20_01",3129.91666666667,3177.63333333333,3439.25,9.88311722889321,1.52453473202162,FALSE
"ga","tai50_20_02",3193,3222.93333333333,3470.71,8.69746320075165,0.937467376552878,FALSE
"ga","tai50_20_03",2989.53333333333,3016.25,3257.77,8.97252636977901,0.893673483040832,FALSE
"ga","tai50_20_04",2932.68333333333,3008.3,3126.76,6.6177164257989,2.57841226180802,FALSE
"ga","tai50_20_05",3034.26666666667,3028.68333333333,3331.53,9.79687568660192,-0.184009315814919,TRUE
"ga","tai50_20_06",3098.55,3122.68333333333,3371.13,8.79701796001355,0.77885892863866,FALSE
"ga","tai50_20_07",3082.28333333333,3103.13333333333,3337.22,8.27103283820976,0.676446573698067,FALSE
"ga","tai50_20_08",3004.26666666667,3028.16666666667,3224.33,7.32502662879459,0.795535238771513,FALSE
"ga","tai50_20_09",3250.86666666667,3271.15,3571.28,9.85624346328159,0.623936181120931,FALSE
"ga","tai50_20_10",3261.88333333333,3271.95,3615.49,10.8405675657723,0.308615166085031,FALSE
"feabcls","ft10",938.183333333333,940.7,1079.86,15.1011707022437,0.268248920786637,FALSE
"feabcls","tai15_15_01",1260.8,1259.56666666667,1474.29,16.9328997461929,-0.0978214890016933,TRUE
"feabcls","tai15_15_02",1267.61666666667,1272.95,1436.59,13.3300024981264,0.420737078769882,FALSE
"feabcls","tai15_15_03",1245.01666666667,1252.9,1442.86,15.8908180613379,0.633190988072457,FALSE
