"inst","clase","arm","frac","rpd"
"tai30_15_09","30x15","V2H",1,-0.480691331352962
"tai30_15_09","30x15","V2",1,-0.928976505536054
"tai30_15_09","30x15","MOR",1,0.972184715095868
"tai30_15_09","30x15","GT",1,-0.0378071833648418
"tai30_15_09","30x15","GP",1,-0.842560086416414
"tai30_15_09","30x15","MIX",1,-0.988387793680797
"tai30_15_10","30x15","A0",0.05,6.0665914221219
"tai30_15_10","30x15","V2H",0.05,6.72121896162528
"tai30_15_10","30x15","V2",0.05,6.77200902934537
"tai30_15_10","30x15","MOR",0.05,5.60948081264109
"tai30_15_10","30x15","GT",0.05,6.42212189616253
"tai30_15_10","30x15","GP",0.05,7.35327313769751
"tai30_15_10","30x15","MIX",0.05,6.48984198645598
"tai30_15_10","30x15","A0",0.1,3.36907449209933
"tai30_15_10","30x15","V2H",0.1,3.85440180586907
"tai30_15_10","30x15","V2",0.1,3.16591422121896
"tai30_15_10","30x15","MOR",0.1,3.53837471783296
"tai30_15_10","30x15","GT",0.1,4.0293453724605
"tai30_15_10","30x15","GP",0.1,3.24492099322799
"tai30_15_10","30x15","MIX",0.1,4.46952595936795
"tai30_15_10","30x15","A0",0.25,0.101580135440178
"tai30_15_10","30x15","V2H",0.25,0.191873589164791
"tai30_15_10","30x15","V2",0.25,0.462753950338603
"tai30_15_10","30x15","MOR",0.25,2.3645598194131
"tai30_15_10","30x15","GT",0.25,1.60835214446953
"tai30_15_10","30x15","GP",0.25,0.886004514672689
"tai30_15_10","30x15","MIX",0.25,0.688487584650115
"tai30_15_10","30x15","A0",0.5,-0.818284424379233
"tai30_15_10","30x15","V2H",0.5,-0.694130925507898
"tai30_15_10","30x15","V2",0.5,-0.643340857787815
"tai30_15_10","30x15","MOR",0.5,1.64221218961625
"tai30_15_10","30x15","GT",0.5,0.711060948081259
"tai30_15_10","30x15","GP",0.5,-0.124153498871334
"tai30_15_10","30x15","MIX",0.5,0.107223476297974
"tai30_15_10","30x15","A0",1,-0.603837471783298
"tai30_15_10","30x15","V2H",1,-1.2076749435666
"tai30_15_10","30x15","V2",1,-0.490970654627542
"tai30_15_10","30x15","MOR",1,1.55191873589165
"tai30_15_10","30x15","GT",1,0.242663656884873
"tai30_15_10","30x15","GP",1,-0.112866817155756
"tai30_15_10","30x15","MIX",1,-0.598194130925503
"tai30_20_01","30x20","A0",0.05,6.61538461538462
"tai30_20_01","30x20","V2H",0.05,5.41724941724941
"tai30_20_01","30x20","V2",0.05,5.02564102564103
"tai30_20_01","30x20","MOR",0.05,6.91375291375292
"tai30_20_01","30x20","GT",0.05,5.72960372960373
"tai30_20_01","30x20","GP",0.05,6.17715617715618
"tai30_20_01","30x20","MIX",0.05,4.83449883449883
"tai30_20_01","30x20","A0",0.1,2.49417249417249
"tai30_20_01","30x20","V2H",0.1,2.30769230769231
"tai30_20_01","30x20","V2",0.1,2.07459207459207
"tai30_20_01","30x20","MOR",0.1,4.1911421911422
"tai30_20_01","30x20","GT",0.1,4.00466200466201
"tai30_20_01","30x20","GP",0.1,3.86480186480187
"tai30_20_01","30x20","MIX",0.1,3.43123543123543
"tai30_20_01","30x20","A0",0.25,-0.14452214452214
"tai30_20_01","30x20","V2H",0.25,-0.0792540792540708
"tai30_20_01","30x20","V2",0.25,0.158508158508163
"tai30_20_01","30x20","MOR",0.25,2.44755244755245
"tai30_20_01","30x20","GT",0.25,2.65734265734266
"tai30_20_01","30x20","GP",0.25,2.44755244755245
"tai30_20_01","30x20","MIX",0.25,-0.125874125874117
"tai30_20_01","30x20","A0",0.5,-0.699300699300699
"tai30_20_01","30x20","V2H",0.5,-0.755244755244747
"tai30_20_01","30x20","V2",0.5,0.186480186480186
"tai30_20_01","30x20","MOR",0.5,2
"tai30_20_01","30x20","GT",0.5,2.26573426573426
"tai30_20_01","30x20","GP",0.5,2.20512820512821
"tai30_20_01","30x20","MIX",0.5,-0.624708624708629
"tai30_20_01","30x20","A0",1,-0.91841491841491
"tai30_20_01","30x20","V2H",1,-0.675990675990676
"tai30_20_01","30x20","V2",1,-1.07226107226107
"tai30_20_01","30x20","MOR",1,3.1002331002331
"tai30_20_01","30x20","GT",1,1.93939393939394
"tai30_20_01","30x20","GP",1,1.46386946386947
"tai30_20_01","30x20","MIX",1,-0.787878787878792
"tai30_20_02","30x20","A0",0.05,7.37978410206085
"tai30_20_02","30x20","V2H",0.05,5.53974484789009
"tai30_20_02","30x20","V2",0.05,5.35819430814523
"tai30_20_02","30x20","MOR",0.05,8.09126594700687
"tai30_20_02","30x20","GT",0.05,7.11481844946026
"tai30_20_02","30x20","GP",0.05,4.93621197252208
"tai30_20_02","30x20","MIX",0.05,5.76054955839058
"tai30_20_02","30x20","A0",0.1,2.92934249263983
"tai30_20_02","30x20","V2H",0.1,3.49852796859667
"tai30_20_02","30x20","V2",0.1,2.58586849852796
"tai30_20_02","30x20","MOR",0.1,6.96761530912659
"tai30_20_02","30x20","GT",0.1,3.61629048086358
"tai30_20_02","30x20","GP",0.1,2.49754661432778
"tai30_20_02","30x20","MIX",0.1,2.68400392541707
"tai30_20_02","30x20","A0",0.25,0.451422963689894
"tai30_20_02","30x20","V2H",0.25,0.338567222767424
"tai30_20_02","30x20","V2",0.25,-0.201177625122665
"tai30_20_02","30x20","MOR",0.25,5.30421982335623
"tai30_20_02","30x20","GT",0.25,1.90382728164868
"tai30_20_02","30x20","GP",0.25,0.225711481844942
"tai30_20_02","30x20","MIX",0.25,-0.0490677134445535
"tai30_20_02","30x20","A0",0.5,-0.10794896957802
"tai30_20_02","30x20","V2H",0.5,-0.304219823356234
"tai30_20_02","30x20","V2",0.5,-0.834151128557409
"tai30_20_02","30x20","MOR",0.5,5.67713444553483
"tai30_20_02","30x20","GT",0.5,1.54072620215898
"tai30_20_02","30x20","GP",0.5,-0.0196270853778259
"tai30_20_02","30x20","MIX",0.5,-0.284592737978408
"tai30_20_02","30x20","A0",1,-0.14229636898921
"tai30_20_02","30x20","V2H",1,-0.755642787046128
"tai30_20_02","30x20","V2",1,-1.06476938174681
"tai30_20_02","30x20","MOR",1,5.00981354268891
"tai30_20_02","30x20","GT",1,1.33464180569185
"tai30_20_02","30x20","GP",1,-0.0441609421001026
"tai30_20_02","30x20","MIX",1,-0.328753680078511
"tai30_20_03","30x20","A0",0.05,6.98886639676113
"tai30_20_03","30x20","V2H",0.05,7.06983805668015
"tai30_20_03","30x20","V2",0.05,6.27024291497976
"tai30_20_03","30x20","MOR",0.05,7.58097165991904
"tai30_20_03","30x20","GT",0.05,4.06882591093118
"tai30_20_03","30x20","GP",0.05,2.95546558704454
"tai30_20_03","30x20","MIX",0.05,4.49392712550608
"tai30_20_03","30x20","A0",0.1,3.33502024291498
